,Coil_Number,UTS,EL,LYS,AIM_QLTY
0,COIL_88540102,358,41,282,T01244
1,COIL_95960741,501,40,432,T01049
2,COIL_90450191,313,44,245,TCA001
3,COIL_95880590,606,24,532,T01302
4,COIL_96931041,372,39,297,I09499
5,COIL_96410741,357,39,288,I09499
6,COIL_92540771,481,36,398,J10004
7,COIL_91550251,306,45,241,T01118
8,COIL_90020532,523,27,435,T01009
9,COIL_95500041,366,40,293,T01244
10,COIL_88370221,403,33,301,I09500
11,COIL_97780201,308,46,246,T01087
12,COIL_89290701,480,38,420,T01260
13,COIL_97150861,478,29,403,D04016
14,COIL_90040701,602,26,525,J15004
15,COIL_92990441,430,30,352,I17021
16,COIL_94450522,410,38,341,I11496
17,COIL_96450521,372,37,296,I11496
18,COIL_87800891,397,33,277,I09500
19,COIL_90450221,312,44,247,T01283
20,COIL_95880620,638,23,549,T01302
21,COIL_97320761,483,27,367,I17007
22,COIL_88270711,478,30,363,I17140
23,COIL_92100551,473,39,370,J10010
24,COIL_88430161,361,40,280,T01018
25,COIL_96560531,307,46,280,T01560
26,COIL_91990701,491,24,400,I17007
27,COIL_90660501,585,28,510,I17140
28,COIL_92150461,422,30,346,T01564
29,COIL_97790581,559,28,496,E13001
30,COIL_90740171,310,47,269,T01378
31,COIL_96970891,348,41,288,T01244
32,COIL_95210152,407,31,345,T01382
33,COIL_94870141,322,40,269,T01381
34,COIL_89540370,675,20,557,T16013
35,COIL_94261152,490,30,377,IHS001
36,COIL_97330551,470,30,399,I17140
37,COIL_93100191,399,38,328,I11496
38,COIL_90240771,344,44,272,J06005
39,COIL_95580371,348,40,274,T01244
40,COIL_92920231,521,25,459,I17140
41,COIL_90510321,335,44,248,T01244
42,COIL_91040461,593,28,532,I17140
43,COIL_97520441,349,40,281,T01018
44,COIL_89070352,360,35,283,I09500
45,COIL_97670191,342,42,271,T01244
46,COIL_90740281,306,46,243,T01087
47,COIL_95770551,481,30,401,I17007
48,COIL_92150791,392,39,307,I11498
49,COIL_92710951,553,24,480,E13001
50,COIL_89690191,312,45,246,T01118
51,COIL_92800011,350,40,276,I09499
52,COIL_97850171,308,46,247,T01283
53,COIL_92110221,319,43,255,T01560
54,COIL_96060891,421,30,334,T01514
55,COIL_89640341,479,34,392,I17007
56,COIL_95060530,372,38,305,I11498
57,COIL_96520612,344,43,257,T01318
58,COIL_88500701,530,25,464,I17007
59,COIL_90550582,465,34,389,J10007
60,COIL_90910471,487,25,349,T01061
61,COIL_88970291,312,46,272,T01560
62,COIL_92880861,526,29,465,E13001
63,COIL_90080531,460,36,370,J10007
64,COIL_96210201,345,37,265,T01382
65,COIL_93140170,309,47,259,T01262
66,COIL_97470491,639,22,524,T16013
67,COIL_93670610,370,39,300,I09499
68,COIL_89690221,341,38,260,T01202
69,COIL_96440221,305,44,242,T01283
70,COIL_88040891,520,31,451,TCA003
71,COIL_96070191,350,37,262,THB001
72,COIL_93470611,376,39,319,I09499
73,COIL_88430521,378,40,298,THB002
74,COIL_97080521,517,32,416,A19001
75,COIL_92880742,526,28,465,E13001
76,COIL_91080731,526,30,417,A19001
77,COIL_90100231,304,46,243,TCA001
78,COIL_90740821,380,37,302,I11496
79,COIL_96880851,418,38,344,T01099
80,COIL_88570431,563,31,467,D06007
81,COIL_92460131,313,45,251,T01283
82,COIL_97160251,307,44,245,TCA001
83,COIL_96900860,384,38,307,I09499
84,COIL_95470201,306,45,243,T01283
85,COIL_89900342,451,32,385,I17021
86,COIL_96280250,485,38,426,T01049
87,COIL_88630201,362,37,305,T01063
88,COIL_89220771,483,35,389,J10007
89,COIL_93620561,365,40,298,T01244
90,COIL_96360591,388,38,312,I11496
91,COIL_97310921,1039,11,687,T13178
92,COIL_94460640,461,40.5,380.5,T01049
93,COIL_91310731,499,35,444,J10004
94,COIL_96620201,316,43,249,T01381
95,COIL_97570941,479,32,411,TCA003
96,COIL_93260220,366,40,258,I09499
97,COIL_91390951,484,30,418,E08000
98,COIL_88900641,467,30,326,I17003
99,COIL_91221002,477,29,404,I17016
100,COIL_92780861,465,28,347,I17472
101,COIL_93030261,387,32,301,I09500
102,COIL_95680741,449,35,392,E07000
103,COIL_92330171,360,37,282,T01382
104,COIL_97140411,464,28,352,I17007
105,COIL_94910821,393,35,306,I09499
106,COIL_89710611,430,34,360,D04004
107,COIL_90430101,311,46,253,T01378
108,COIL_94760331,471,31,340,A12010
109,COIL_97110821,358,38,292,I09499
110,COIL_89150611,385,39,322,K01002
111,COIL_97700611,422,36,339,I09500
112,COIL_92840381,336,40,251,T01202
113,COIL_89440371,470,28,409,I17020
114,COIL_92590191,308,46,243,TCA001
115,COIL_91310881,631,19,446,T13515
116,COIL_93800411,574,27,515,E13001
117,COIL_93130441,510,27,412,I17140
118,COIL_94710500,512,31,401,I56000
119,COIL_97580730,472,39,411,T01260
120,COIL_93310681,486,31,406,I17016
121,COIL_97730790,391,38,322,K01002
122,COIL_91270741,464,34,421,I17007
123,COIL_91980551,528,26,389,I09504
124,COIL_97640231,305,46,248,TCA001
125,COIL_97630221,364,32,300,T01382
126,COIL_95170530,514,32,428,T01009
127,COIL_91151121,528,30,445,D06005
128,COIL_90411121,520,30,362,I09504
129,COIL_93130190,303.5295,46.3187,240.0612,T01118
130,COIL_97900341,475,30,344,I17003
131,COIL_95650191,311,43,243,T01087
132,COIL_88010021,348,41,262,T01018
133,COIL_93310351,373,40,287,K01003
134,COIL_93440430,562,25,454,T16002
135,COIL_91290762,472,35,377,J10007
136,COIL_95360581,405,42,319,T01099
137,COIL_92010831,482,36,414,T01049
138,COIL_93220260,560,28,482,E13001
139,COIL_91270291,341,42,279,S33001
140,COIL_91850111,310,46,252,T01283
141,COIL_93240170,314,45,256,TCA001
142,COIL_88990251,301,47,249,T01560
143,COIL_87860622,451,30,372,I45001
144,COIL_94100611,366,38,302,I09499
145,COIL_95920620,379,39,308,I11496
146,COIL_88670402,488,28,416,I17021
147,COIL_91010111,310,46,246,T01118
148,COIL_88920801,526,28,408,A19001
149,COIL_92550551,497,28,388,I17140
150,COIL_95090492,504,30,408,I56001
151,COIL_96680642,456,31,328,I17140
152,COIL_88620381,339,38,262,T01382
153,COIL_91740201,337,40,255,T01202
154,COIL_92160021,388,41,318,I11496
155,COIL_90710312,368,36,279,I09500
156,COIL_95030481,365,38,276,I11496
157,COIL_88960101,372,36,327,T01063
158,COIL_89520411,513,31,412,A19001
159,COIL_90840191,309,46,246,T01087
160,COIL_97830471,365,38,282,I09499
161,COIL_97860350,439,30,375,I17020
162,COIL_90830650,375,42,297,T01065
163,COIL_95220191,312,47,269,T01560
